epoch,phase,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1,val_auc,val_prec_macro,val_rec_macro,val_f1_macro,val_prec_weight,val_rec_weight,val_f1_weight
1,phase1,0.5578875254733222,0.7073928571428572,0.5181173129431716,0.7603733387440398,0.7965667733488507,0.6969604398961357,0.7434421332754032,0.8457937543467838,0.7644884849075774,0.7601393901102955,0.7593251589527147,0.7643697005382858,0.7603733387440398,0.7593839730378543
2,phase2,0.4404751120976039,0.7933571428571429,0.5749404948183606,0.8135081667850259,0.8648022800142501,0.7415610203146479,0.7984540745004522,0.9065087322338179,0.8200306450102244,0.8132427328287749,0.812461880192666,0.8198648577851408,0.8135081667850259,0.812513750427805
3,phase2,0.34042980001228196,0.8495,0.593213110358514,0.8534797605762402,0.8550501946322475,0.8499567231811007,0.8524958508872718,0.9327588306323298,0.8534947516569598,0.8534667630662667,0.8534732410063579,0.8534889919259465,0.8534797605762402,0.8534768602352661
4,phase2,0.27599875611492564,0.8840714285714286,0.4810102460248772,0.8602769605356599,0.9206954036675399,0.7873326205386691,0.8488075308065977,0.9499804685081188,0.8680668605470963,0.8600078476423573,0.8594682412278114,0.8678719795666868,0.8602769605356599,0.8595077173290971
5,phase2,0.2379311016372272,0.9037857142857143,0.47845785259680834,0.8922593081059146,0.9004214140783519,0.8811669466931419,0.8906901343214451,0.9605109123740567,0.8924584429722684,0.8922183851573557,0.8922371009657932,0.8924289564707596,0.8922593081059146,0.892242829309358
6,phase2,0.21251352228011403,0.9148571428571428,1.533470011563233,0.8932738155625444,0.9344142318302089,0.8450689883407159,0.8874986632445728,0.9665018324181092,0.8969786368013264,0.8930959739297959,0.8929918289686147,0.8968400145817308,0.8932738155625444,0.8930121698988093
7,phase2,0.19826543254511697,0.9247142857142857,0.4703539373203568,0.9022775692401339,0.9385555555555556,0.8601395040985693,0.8976382136500093,0.971231593148463,0.9051794018210857,0.9021221096578156,0.9020764160570803,0.9050558115186299,0.9022775692401339,0.9020928505085217
8,phase2,0.18054938910688673,0.9317142857142857,0.8834913025239282,0.9113320482905549,0.949796623391096,0.8678784175958454,0.9069915930616154,0.9759132497980434,0.9144960957838121,0.9111717352041491,0.9111385221293344,0.9143653796168582,0.9113320482905549,0.9111538780095182
9,phase2,0.17690298302684512,0.9332857142857143,0.22622513050773913,0.9133357005173988,0.9559865092748735,0.8658927753169391,0.9087120301354492,0.9787630943032425,0.9171281099845113,0.9131606697628816,0.9131128044461193,0.9169842191887216,0.9133357005173988,0.9131291003031083
10,phase2,0.16489163800222534,0.94175,0.7471753657793223,0.9060058841432485,0.97136602969887,0.8359553994195815,0.898588003502627,0.9816737887337783,0.9141624821080365,0.9057474475240122,0.9055002789303643,0.9139506601046821,0.9060058841432485,0.9055258747559819
